#{"t_start": 1778267186.480947, "env_id": "None"}
r,l,t
700.0,28,16.224069
100.0,50,16.257859
700.0,5,16.261505
700.0,40,16.288554
-100.0,50,16.752088
700.0,22,16.771699
700.0,3,16.774611
700.0,10,16.783876
700.0,16,16.797229
-100.0,50,16.835219
700.0,28,16.855697
0.0,50,16.890576
700.0,30,17.375892
-100.0,50,17.411798
-300.0,50,17.447395
700.0,6,17.451865
700.0,28,17.47147
700.0,4,17.474427
-200.0,50,17.511243
700.0,34,17.538343
700.0,9,17.545274
700.0,12,17.553925
0.0,50,17.596441
700.0,5,17.60101
-100.0,50,17.641065
-100.0,50,17.676352
100.0,50,17.715501
-200.0,50,17.752511
-300.0,50,17.787457
700.0,26,17.806235
700.0,48,17.844911
100.0,50,17.879991
-200.0,50,17.913965
700.0,24,17.93114
700.0,10,17.938234
700.0,12,17.946581
-100.0,50,17.980603
700.0,13,17.989987
0.0,50,18.024697
700.0,32,18.047831
700.0,18,18.060416
0.0,50,18.095736
700.0,3,18.098063
-100.0,50,18.575648
-100.0,50,18.614733
100.0,50,18.655773
700.0,45,18.693076
700.0,13,18.703376
700.0,6,18.70823
100.0,50,18.751957
700.0,4,18.755438
700.0,5,18.75952
700.0,20,18.775027
0.0,50,18.813978
-200.0,50,18.852829
700.0,12,18.861487
700.0,29,18.882631
-200.0,50,18.918093
700.0,12,18.926876
700.0,25,18.944622
0.0,50,18.980325
700.0,35,19.005975
-200.0,50,19.041819
700.0,5,19.045754
-200.0,50,19.082094
100.0,50,19.117193
700.0,3,19.119557
100.0,50,19.568868
0.0,50,19.605032
700.0,40,19.632761
-200.0,50,19.66771
700.0,17,19.681043
700.0,39,19.709998
700.0,25,19.727342
700.0,3,19.729828
700.0,47,20.214298
700.0,8,20.220236
0.0,50,20.254875
700.0,45,20.286875
700.0,14,20.296989
700.0,39,20.32683
-200.0,50,20.364909
-100.0,50,20.401191
700.0,9,20.407821
700.0,22,20.423869
700.0,27,20.442231
700.0,37,20.467483
700.0,17,20.47931
700.0,43,20.507809
700.0,25,20.524342
-100.0,50,20.559908
700.0,50,20.59375
100.0,50,20.628749
0.0,50,20.664617
700.0,48,20.69962
700.0,17,20.712081
700.0,37,20.73804
700.0,40,20.765499
700.0,36,20.791457
-200.0,50,20.826502
-100.0,50,20.86112
-100.0,50,20.895951
-300.0,50,21.366806
700.0,46,21.400295
100.0,50,21.434898
100.0,50,21.469448
-300.0,50,21.503617
700.0,22,21.520112
0.0,50,21.556863
700.0,5,21.561861
0.0,50,21.599089
700.0,4,21.601903
700.0,16,21.613948
700.0,9,21.620526
-100.0,50,21.655067
700.0,20,21.669281
-100.0,50,21.703628
700.0,48,21.737376
700.0,47,21.775334
700.0,7,21.781178
700.0,20,21.799398
700.0,31,21.825426
700.0,26,21.844507
700.0,9,21.850875
