#{"t_start": 1778267186.480947, "env_id": "None"}
r,l,t
700.0,6,42.923815
700.0,3,42.926027
700.0,6,42.930322
700.0,4,42.93314
700.0,10,42.939814
700.0,21,42.953984
700.0,3,42.956292
700.0,5,42.959833
-100.0,50,42.993741
700.0,12,43.001919
700.0,8,43.007587
700.0,3,43.009803
700.0,4,43.012597
700.0,4,43.015448
700.0,6,43.019556
700.0,3,43.021781
700.0,9,43.028532
700.0,16,43.039734
700.0,3,43.041873
700.0,3,43.043993
700.0,5,43.047424
700.0,4,43.050235
700.0,5,43.05392
700.0,11,43.061767
700.0,5,43.065376
700.0,3,43.067528
700.0,7,43.072462
700.0,9,43.079619
700.0,5,43.083161
700.0,7,43.088141
700.0,3,43.090287
700.0,3,43.092464
700.0,7,43.097317
700.0,5,43.100744
700.0,3,43.102877
700.0,4,43.105645
700.0,3,43.107911
700.0,4,43.110685
700.0,3,43.112809
700.0,31,43.133673
700.0,3,43.135833
700.0,3,43.138026
700.0,4,43.140792
700.0,3,43.143008
700.0,5,43.146543
700.0,3,43.148659
700.0,4,43.151668
700.0,3,43.153875
700.0,4,43.156795
700.0,5,43.160235
700.0,3,43.162333
700.0,3,43.164463
700.0,3,43.166563
700.0,3,43.168659
700.0,24,43.184715
700.0,4,43.187444
700.0,3,43.189518
0.0,50,43.223089
700.0,9,43.229694
700.0,3,43.231845
700.0,3,43.234101
700.0,3,43.236218
700.0,5,43.23958
700.0,4,43.242308
700.0,3,43.244427
700.0,4,43.247151
700.0,3,43.249243
700.0,4,43.251965
700.0,22,43.266683
700.0,3,43.268808
700.0,4,43.271657
700.0,3,43.273839
700.0,3,43.276535
700.0,3,43.278707
700.0,18,43.29089
700.0,5,43.294282
700.0,3,43.296358
700.0,23,43.748496
700.0,6,43.752861
700.0,21,43.768108
700.0,4,43.771163
700.0,12,43.780704
700.0,25,43.797881
700.0,6,43.802203
700.0,5,43.80613
700.0,14,43.816909
700.0,3,43.819188
700.0,4,43.822079
700.0,5,43.826439
700.0,5,43.830398
700.0,3,43.832845
700.0,3,43.83507
700.0,3,43.837361
700.0,3,43.839644
700.0,5,43.843197
700.0,5,43.846773
700.0,21,43.861368
700.0,5,43.865082
700.0,35,43.890816
700.0,22,43.907867
700.0,9,43.916256
700.0,4,43.91914
700.0,5,43.924097
700.0,6,43.929804
700.0,3,43.932859
700.0,33,43.957697
700.0,3,43.961222
700.0,4,43.964914
700.0,3,43.96742
700.0,3,43.969815
-100.0,50,44.006208
700.0,10,44.0144
700.0,3,44.01672
700.0,3,44.018887
700.0,7,44.023982
700.0,6,44.029276
700.0,23,44.04548
700.0,10,44.052355
700.0,3,44.054648
700.0,44,44.084855
700.0,3,44.087187
700.0,4,44.090454
700.0,4,44.09389
700.0,3,44.09648
700.0,4,44.099824
700.0,4,44.103162
700.0,5,44.107081
700.0,7,44.111943
700.0,29,44.13155
700.0,19,44.144559
700.0,10,44.151247
700.0,3,44.153417
700.0,3,44.155644
700.0,5,44.159112
700.0,5,44.162574
700.0,11,44.170058
700.0,6,44.174183
700.0,3,44.176695
700.0,5,44.180188
700.0,8,44.186317
700.0,21,44.200542
700.0,21,44.214928
700.0,4,44.218031
700.0,20,44.23187
700.0,4,44.234759
700.0,6,44.238907
700.0,3,44.241057
700.0,6,44.245211
700.0,3,44.247344
700.0,19,44.260147
700.0,49,44.293736
700.0,3,44.295977
700.0,5,44.299434
700.0,3,44.30156
700.0,6,44.306011
700.0,7,44.310836
700.0,4,44.313775
700.0,5,44.31734
700.0,3,44.319473
700.0,3,44.321686
700.0,13,44.330883
700.0,19,44.343843
700.0,5,44.347318
700.0,3,44.34947
700.0,5,44.352965
700.0,5,44.356772
700.0,8,44.362417
700.0,13,44.371128
700.0,10,44.377963
700.0,3,44.380223
700.0,4,44.382976
700.0,3,44.385123
700.0,46,44.416234
700.0,3,44.418386
700.0,3,44.420638
700.0,3,44.422803
700.0,4,44.425712
700.0,3,44.427853
700.0,4,44.43085
700.0,3,44.433302
700.0,3,44.435593
700.0,3,44.437916
700.0,12,44.446067
700.0,19,44.45898
700.0,3,44.4613
700.0,5,44.464802
700.0,13,44.474736
700.0,3,44.477145
700.0,3,44.479382
700.0,4,44.482191
700.0,4,44.485147
700.0,8,44.916833
700.0,3,44.919492
700.0,5,44.923448
700.0,3,44.925681
700.0,3,44.927949
700.0,5,44.931487
700.0,7,44.936385
700.0,3,44.938626
700.0,4,44.94153
700.0,3,44.943701
700.0,4,44.946504
700.0,42,44.976304
700.0,4,44.97968
700.0,7,44.984961
700.0,4,44.988217
700.0,9,44.994503
700.0,5,44.997969
700.0,4,45.000768
700.0,3,45.003138
700.0,3,45.005469
700.0,5,45.009093
700.0,3,45.011746
700.0,4,45.01477
700.0,5,45.018614
700.0,8,45.025065
700.0,4,45.027972
700.0,3,45.03037
700.0,4,45.033579
700.0,4,45.037151
700.0,4,45.040573
700.0,3,45.042779
700.0,4,45.045769
700.0,19,45.059727
700.0,4,45.062603
700.0,6,45.067107
700.0,7,45.072172
700.0,4,45.075152
700.0,3,45.077746
700.0,12,45.087032
700.0,6,45.091323
700.0,33,45.141757
700.0,3,45.14438
700.0,4,45.147922
700.0,3,45.150527
700.0,3,45.153239
700.0,4,45.156835
700.0,3,45.159403
700.0,3,45.162114
700.0,7,45.167967
700.0,3,45.170454
700.0,12,45.178832
700.0,17,45.191155
700.0,4,45.194025
700.0,12,45.201892
700.0,7,45.206505
700.0,5,45.209949
700.0,35,45.233395
700.0,7,45.238203
700.0,7,45.243106
700.0,12,45.2512
700.0,3,45.253356
700.0,4,45.256299
700.0,3,45.258468
700.0,3,45.260635
700.0,16,45.27135
700.0,7,45.276721
700.0,5,45.28049
700.0,3,45.282697
700.0,3,45.284863
700.0,3,45.287038
700.0,4,45.289919
700.0,4,45.292847
700.0,4,45.295701
700.0,3,45.297846
700.0,9,45.304067
700.0,6,45.308537
700.0,5,45.312184
700.0,3,45.314442
700.0,5,45.317909
700.0,5,45.321446
700.0,4,45.324376
700.0,3,45.326695
700.0,4,45.330198
700.0,3,45.332458
700.0,4,45.335246
700.0,14,45.344724
700.0,6,45.34879
700.0,3,45.350886
700.0,4,45.353633
700.0,5,45.357053
700.0,5,45.360615
700.0,4,45.363392
700.0,7,45.368212
700.0,3,45.370466
700.0,4,45.373316
700.0,6,45.377644
700.0,3,45.379784
700.0,5,45.383183
700.0,8,45.38869
700.0,17,45.400094
700.0,7,45.405012
700.0,3,45.407766
700.0,5,45.412466
700.0,27,45.435468
700.0,3,45.438026
700.0,4,45.441326
700.0,19,45.454405
700.0,15,45.464991
700.0,3,45.467215
700.0,4,45.470101
700.0,7,45.475097
700.0,4,45.477908
700.0,3,45.480238
700.0,4,45.483391
700.0,4,45.486217
700.0,3,45.488443
700.0,27,45.506981
700.0,13,45.516219
700.0,3,45.518583
700.0,17,45.530511
0.0,50,45.565188
700.0,5,45.569319
700.0,3,45.571478
700.0,3,45.573614
700.0,4,45.576678
700.0,8,45.583443
700.0,16,45.594511
700.0,4,45.597293
700.0,3,45.599576
700.0,3,45.60175
700.0,3,45.60407
700.0,9,45.610256
700.0,3,45.612397
700.0,8,45.617877
700.0,13,45.626974
700.0,7,45.631762
700.0,30,45.651905
700.0,19,45.664649
700.0,4,45.667597
700.0,4,45.67035
700.0,5,45.673768
700.0,5,45.67732
700.0,3,45.679415
700.0,3,45.681567
700.0,3,45.683657
700.0,3,46.116348
700.0,4,46.120185
700.0,4,46.123705
700.0,3,46.126404
700.0,6,46.130976
700.0,18,46.143963
700.0,4,46.146815
700.0,4,46.149661
700.0,4,46.152925
700.0,3,46.155551
700.0,4,46.158562
700.0,3,46.160846
700.0,3,46.163303
700.0,8,46.169512
700.0,3,46.172415
700.0,3,46.175208
700.0,5,46.179537
700.0,3,46.182101
700.0,3,46.184463
700.0,3,46.186744
700.0,11,46.194518
700.0,13,46.203928
700.0,25,46.223995
700.0,32,46.24687
700.0,3,46.249129
700.0,3,46.251365
700.0,4,46.254256
700.0,3,46.256641
700.0,5,46.260216
700.0,4,46.263025
700.0,14,46.272885
700.0,4,46.275802
700.0,6,46.280365
700.0,5,46.284064
700.0,9,46.29021
700.0,4,46.29302
700.0,3,46.295165
700.0,3,46.297387
700.0,3,46.299521
700.0,3,46.301713
700.0,3,46.304111
700.0,7,46.308856
700.0,3,46.311046
700.0,3,46.313378
700.0,4,46.316094
700.0,3,46.318177
700.0,6,46.322629
700.0,3,46.325068
700.0,4,46.328067
700.0,17,46.340252
700.0,25,46.357116
700.0,3,46.359358
700.0,5,46.36294
700.0,3,46.365099
700.0,3,46.367191
700.0,4,46.369967
700.0,4,46.372757
700.0,7,46.378965
700.0,4,46.381873
700.0,3,46.384034
700.0,3,46.386214
700.0,4,46.389057
700.0,4,46.391859
700.0,15,46.40201
700.0,3,46.404271
700.0,3,46.406426
700.0,11,46.41409
700.0,23,46.429799
700.0,4,46.432682
700.0,3,46.434888
700.0,3,46.437075
700.0,3,46.43924
700.0,3,46.441487
700.0,3,46.443582
700.0,3,46.445672
700.0,23,46.461416
700.0,3,46.463593
700.0,5,46.467107
700.0,3,46.469312
700.0,30,46.48975
700.0,5,46.493224
700.0,3,46.495366
700.0,3,46.497505
700.0,5,46.501032
700.0,42,46.53054
700.0,3,46.532671
700.0,4,46.535441
700.0,3,46.537664
700.0,5,46.541969
700.0,4,46.544918
700.0,4,46.547738
700.0,5,46.551196
700.0,4,46.554089
700.0,4,46.556925
700.0,3,46.559084
700.0,4,46.561899
700.0,9,46.568234
700.0,5,46.571695
700.0,3,46.573894
700.0,4,46.577136
700.0,5,46.580757
700.0,5,46.584368
700.0,3,46.58656
700.0,7,46.591338
700.0,3,46.593455
700.0,7,46.598247
700.0,8,46.604057
700.0,3,46.606361
700.0,3,46.608533
700.0,23,46.624555
700.0,3,46.627051
700.0,3,46.629599
700.0,7,46.635247
700.0,10,46.642753
700.0,7,46.648468
700.0,3,46.651274
700.0,3,46.653975
700.0,8,46.6616
700.0,5,46.666411
700.0,3,46.669317
700.0,4,46.673234
700.0,8,46.680396
700.0,9,46.688451
700.0,3,46.691095
700.0,4,46.694513
700.0,4,46.69794
700.0,3,46.700463
700.0,4,46.703616
700.0,6,46.707762
700.0,3,46.709898
700.0,13,46.719007
700.0,4,46.72182
700.0,3,46.723939
700.0,7,46.728702
700.0,4,46.731518
700.0,4,46.734326
700.0,10,46.741145
700.0,4,46.744011
700.0,6,46.748485
700.0,10,46.755382
700.0,6,46.759669
700.0,10,46.766565
700.0,5,46.77
700.0,3,46.772109
700.0,7,46.776994
700.0,5,46.780469
700.0,3,46.782574
700.0,3,46.784772
700.0,3,46.786947
700.0,30,46.807191
700.0,3,46.80949
700.0,18,46.821707
700.0,9,46.828195
700.0,9,46.834267
700.0,5,46.837738
700.0,3,46.839878
700.0,3,46.84199
700.0,3,46.844104
700.0,5,46.847605
700.0,13,46.856343
700.0,5,46.859806
700.0,7,47.325681
700.0,3,47.327949
700.0,3,47.330579
700.0,3,47.332823
700.0,6,47.337295
700.0,3,47.339609
700.0,3,47.341811
700.0,4,47.344709
700.0,3,47.346907
700.0,4,47.349798
700.0,5,47.353436
700.0,3,47.355692
700.0,5,47.359394
700.0,3,47.36158
700.0,4,47.364738
700.0,5,47.368744
700.0,3,47.370913
700.0,10,47.378359
700.0,5,47.382538
700.0,4,47.385772
700.0,3,47.388108
700.0,3,47.390308
700.0,3,47.39258
700.0,3,47.394732
700.0,7,47.399514
700.0,3,47.401851
700.0,6,47.406023
700.0,4,47.408873
700.0,4,47.412072
700.0,3,47.414751
700.0,26,47.434319
700.0,4,47.437253
700.0,7,47.442163
700.0,4,47.445079
700.0,4,47.447933
700.0,6,47.452259
700.0,3,47.454484
700.0,4,47.457694
700.0,6,47.462584
700.0,3,47.464752
700.0,6,47.469013
700.0,3,47.471183
700.0,5,47.474971
700.0,4,47.477907
700.0,4,47.507286
700.0,3,47.509673
700.0,3,47.511955
700.0,3,47.514286
700.0,3,47.516544
700.0,11,47.525073
700.0,7,47.531317
700.0,3,47.533779
700.0,4,47.536587
700.0,3,47.538721
700.0,7,47.543912
700.0,3,47.546127
700.0,12,47.554148
700.0,6,47.558616
700.0,3,47.560928
700.0,3,47.563025
700.0,3,47.565109
700.0,8,47.570497
700.0,7,47.575563
700.0,3,47.578021
700.0,3,47.580192
700.0,3,47.582356
700.0,3,47.584721
700.0,3,47.58699
700.0,3,47.589112
700.0,3,47.591335
700.0,3,47.593413
700.0,3,47.595615
700.0,14,47.605152
700.0,4,47.607943
700.0,4,47.610706
700.0,5,47.614146
700.0,4,47.616917
700.0,10,47.623581
700.0,4,47.626698
700.0,20,47.639951
700.0,3,47.642121
700.0,19,47.654842
700.0,5,47.658468
700.0,3,47.660717
700.0,5,47.664247
700.0,4,47.667422
700.0,3,47.669868
700.0,3,47.672127
700.0,4,47.675222
700.0,3,47.677464
700.0,5,47.680932
700.0,4,47.683789
700.0,3,47.685926
700.0,6,47.690191
700.0,4,47.69305
700.0,3,47.695164
700.0,4,47.697948
700.0,5,47.701322
700.0,5,47.704803
700.0,4,47.707578
700.0,3,47.709675
700.0,4,47.712757
700.0,3,47.714918
700.0,16,47.725991
700.0,3,47.72814
700.0,3,47.730244
700.0,3,47.732338
700.0,3,47.734482
700.0,3,47.736704
700.0,17,47.748052
700.0,3,47.750343
700.0,3,47.752533
700.0,3,47.754767
700.0,3,47.756969
700.0,18,47.770416
700.0,4,47.773225
700.0,4,47.776438
700.0,16,47.787774
700.0,3,47.790354
700.0,14,47.802357
700.0,4,47.805696
700.0,5,47.809773
700.0,11,47.81834
700.0,5,47.821957
700.0,4,47.824952
700.0,17,47.836772
700.0,4,47.839733
700.0,4,47.842617
700.0,4,47.845362
700.0,4,47.848134
700.0,6,47.85231
700.0,5,47.855843
700.0,3,47.857975
700.0,4,47.860754
700.0,5,47.864123
700.0,4,47.866861
700.0,3,47.868986
700.0,4,47.871756
700.0,3,47.873978
700.0,3,47.876188
700.0,6,47.880352
700.0,5,47.883852
700.0,3,47.886017
700.0,5,47.889577
700.0,6,47.893905
700.0,4,47.896803
700.0,3,47.898929
700.0,4,47.901883
700.0,13,47.910494
700.0,6,47.914731
700.0,7,47.919461
700.0,5,47.923195
700.0,3,47.925377
700.0,4,47.928554
700.0,4,47.931374
700.0,3,47.933468
700.0,3,47.935554
700.0,3,47.937642
700.0,3,47.939724
700.0,8,47.945072
700.0,4,47.948024
700.0,3,47.950149
700.0,13,47.958945
700.0,6,47.963139
700.0,4,47.965904
700.0,15,47.976466
700.0,9,47.982975
700.0,15,47.993319
700.0,4,47.99628
700.0,4,47.999096
700.0,3,48.001265
700.0,6,48.005423
700.0,3,48.007514
700.0,3,48.009733
700.0,8,48.015123
700.0,4,48.017932
100.0,50,48.053769
700.0,8,48.0601
700.0,4,48.062942
700.0,4,48.065709
700.0,3,48.068303
700.0,3,48.07104
700.0,3,48.073537
700.0,5,48.07803
700.0,11,48.085625
700.0,4,48.088544
700.0,3,48.090697
700.0,5,48.094205
700.0,3,48.547685
700.0,3,48.549913
700.0,3,48.552135
700.0,4,48.555042
700.0,4,48.557941
700.0,3,48.560455
700.0,4,48.563595
700.0,3,48.5658
700.0,3,48.568053
700.0,4,48.571103
700.0,4,48.57443
700.0,3,48.576771
700.0,3,48.579861
700.0,4,48.583138
700.0,4,48.586306
700.0,3,48.588521
700.0,4,48.591431
700.0,4,48.594293
700.0,3,48.596494
700.0,3,48.598672
700.0,5,48.602251
700.0,3,48.604461
700.0,4,48.607888
700.0,3,48.610526
700.0,3,48.612842
700.0,3,48.615028
700.0,3,48.617593
700.0,5,48.621479
700.0,7,48.627346
700.0,3,48.630004
700.0,3,48.632676
700.0,4,48.635682
700.0,3,48.638042
700.0,3,48.64024
700.0,3,48.642412
700.0,6,48.64672
700.0,10,48.653706
700.0,4,48.656656
700.0,7,48.661858
700.0,46,48.694883
700.0,3,48.697073
700.0,6,48.701335
700.0,10,48.709398
700.0,15,48.720667
700.0,4,48.723545
700.0,4,48.726833
700.0,3,48.729124
700.0,4,48.731957
700.0,6,48.736062
700.0,9,48.741999
700.0,3,48.744122
700.0,3,48.746154
700.0,5,48.749534
700.0,6,48.753772
700.0,5,48.757069
700.0,4,48.759837
700.0,6,48.764133
700.0,3,48.766182
700.0,3,48.768498
700.0,3,48.770531
700.0,4,48.773281
700.0,3,48.776387
700.0,3,48.779692
700.0,4,48.783949
700.0,4,48.788417
700.0,3,48.790484
700.0,3,48.79328
700.0,4,48.796226
700.0,3,48.798481
700.0,4,48.801684
700.0,5,48.805589
700.0,3,48.808179
700.0,4,48.811313
700.0,4,48.814391
700.0,3,48.816854
700.0,5,48.820325
700.0,4,48.823379
700.0,4,48.827231
700.0,4,48.830439
700.0,3,48.832883
700.0,5,48.836876
700.0,3,48.839023
700.0,3,48.841184
700.0,5,48.844839
700.0,3,48.847325
700.0,4,48.850475
700.0,4,48.853334
700.0,6,48.858308
700.0,4,48.861184
700.0,5,48.864866
700.0,3,48.867128
700.0,5,48.870612
700.0,12,48.880643
700.0,4,48.883413
700.0,3,48.885573
700.0,4,48.888339
700.0,3,48.890421
700.0,30,48.910474
700.0,3,48.9127
700.0,4,48.915501
700.0,13,48.924464
700.0,4,48.927212
700.0,13,48.936187
700.0,3,48.938306
700.0,3,48.940387
700.0,4,48.943103
700.0,5,48.946685
700.0,3,48.948865
700.0,4,48.951733
700.0,27,48.969994
700.0,3,48.972339
700.0,12,48.980673
700.0,16,48.991447
700.0,3,48.993601
700.0,3,48.995765
700.0,3,48.997849
700.0,11,49.005819
700.0,3,49.007948
700.0,5,49.01133
700.0,8,49.017026
700.0,3,49.019183
700.0,3,49.021264
700.0,4,49.024046
700.0,4,49.026772
700.0,3,49.028972
700.0,3,49.03109
700.0,3,49.03319
700.0,4,49.036213
700.0,4,49.039279
700.0,33,49.061407
700.0,3,49.063552
700.0,3,49.065664
700.0,7,49.070344
700.0,3,49.072426
700.0,3,49.074773
700.0,7,49.080514
700.0,4,49.083306
700.0,3,49.085386
700.0,5,49.088741
700.0,3,49.090833
700.0,3,49.092972
700.0,3,49.095069
700.0,3,49.097185
700.0,3,49.099284
700.0,5,49.102921
700.0,4,49.105819
700.0,3,49.107959
700.0,4,49.110816
700.0,3,49.11301
700.0,3,49.115154
700.0,4,49.117993
700.0,3,49.12015
700.0,3,49.122334
700.0,3,49.12474
700.0,10,49.131539
700.0,3,49.133731
700.0,3,49.13588
700.0,3,49.138018
700.0,4,49.140905
700.0,3,49.143043
700.0,3,49.145222
700.0,4,49.148064
700.0,4,49.150854
700.0,32,49.172306
700.0,4,49.17525
700.0,3,49.177474
700.0,4,49.180701
700.0,4,49.183536
700.0,3,49.18567
700.0,35,49.209959
700.0,3,49.212076
700.0,3,49.21418
700.0,3,49.216302
700.0,5,49.219662
700.0,4,49.222396
700.0,3,49.22466
700.0,4,49.227382
700.0,3,49.229462
700.0,3,49.231673
700.0,5,49.235047
700.0,3,49.237121
700.0,4,49.239883
700.0,3,49.241962
700.0,4,49.244704
700.0,11,49.252271
700.0,5,49.255915
700.0,3,49.258123
700.0,31,49.280232
700.0,3,49.282381
700.0,6,49.28702
700.0,4,49.289863
700.0,3,49.734112
700.0,3,49.736369
700.0,20,49.750222
700.0,3,49.75242
700.0,3,49.755035
700.0,10,49.76278
700.0,3,49.764999
700.0,4,49.767907
700.0,3,49.770306
700.0,11,49.778272
700.0,4,49.781223
700.0,4,49.784191
700.0,5,49.787912
700.0,3,49.790234
700.0,3,49.792426
700.0,5,49.795936
700.0,3,49.798092
700.0,12,49.807103
700.0,5,49.81121
700.0,30,49.836726
700.0,3,49.839153
700.0,5,49.842731
700.0,3,49.844908
700.0,5,49.848517
700.0,3,49.850714
700.0,3,49.852913
700.0,5,49.88513
700.0,3,49.887392
700.0,4,49.890265
700.0,3,49.892483
700.0,4,49.89538
700.0,5,49.898931
700.0,4,49.902174
700.0,3,49.904808
700.0,3,49.907909
700.0,3,49.910229
700.0,3,49.912542
700.0,3,49.914775
700.0,3,49.917213
700.0,4,49.920632
700.0,4,49.923536
700.0,3,49.926284
700.0,3,49.929478
700.0,3,49.932037
700.0,4,49.935029
700.0,3,49.937481
700.0,18,49.952029
700.0,4,49.955528
700.0,6,49.960552
700.0,3,49.962987
700.0,16,49.973738
700.0,3,49.97645
700.0,3,49.979107
700.0,4,49.982044
700.0,3,49.984385
700.0,3,49.986919
700.0,3,49.989592
700.0,3,49.992581
700.0,4,49.996351
700.0,3,49.99915
700.0,4,50.003002
700.0,3,50.005819
700.0,4,50.009395
700.0,4,50.012911
700.0,3,50.01553
700.0,4,50.020653
700.0,3,50.023251
700.0,3,50.027626
700.0,3,50.031011
700.0,3,50.034569
700.0,26,50.057829
700.0,3,50.060597
700.0,4,50.064059
700.0,4,50.067451
700.0,6,50.072464
700.0,5,50.076338
700.0,3,50.079355
700.0,6,50.084723
700.0,6,50.090189
700.0,3,50.092975
700.0,3,50.095709
700.0,3,50.098388
700.0,4,50.101807
700.0,3,50.104343
700.0,3,50.106911
700.0,4,50.110562
700.0,4,50.113934
700.0,3,50.116497
700.0,3,50.118966
700.0,3,50.121413
700.0,7,50.126462
700.0,3,50.128831
700.0,17,50.142228
700.0,5,50.146686
700.0,3,50.14939
700.0,3,50.15223
700.0,3,50.154953
700.0,4,50.158522
700.0,3,50.161298
700.0,3,50.163737
700.0,3,50.166026
700.0,9,50.172326
700.0,5,50.176256
700.0,4,50.179358
700.0,3,50.181582
700.0,6,50.18629
700.0,4,50.189734
700.0,4,50.193433
700.0,3,50.196212
700.0,4,50.19963
700.0,6,50.204837
700.0,3,50.207397
700.0,3,50.209949
700.0,3,50.212325
700.0,5,50.216129
700.0,4,50.219054
700.0,3,50.221202
700.0,3,50.223486
700.0,4,50.226528
700.0,3,50.228627
700.0,5,50.232135
700.0,3,50.234469
700.0,5,50.23791
700.0,3,50.240021
700.0,4,50.24281
700.0,3,50.244958
700.0,3,50.247088
700.0,3,50.249248
700.0,8,50.255192
700.0,4,50.258276
700.0,3,50.260871
700.0,3,50.263102
700.0,3,50.265377
700.0,3,50.267503
700.0,3,50.269625
700.0,5,50.27317
700.0,25,50.291872
700.0,4,50.29473
700.0,3,50.296916
700.0,4,50.299784
700.0,3,50.301991
700.0,3,50.304693
700.0,3,50.306967
700.0,33,50.331441
700.0,10,50.338476
700.0,6,50.342776
700.0,3,50.344947
700.0,13,50.353932
700.0,3,50.356293
700.0,3,50.358576
700.0,3,50.360833
700.0,4,50.363843
700.0,20,50.378528
700.0,3,50.380838
700.0,3,50.38313
700.0,3,50.385473
700.0,4,50.38834
700.0,5,50.391809
700.0,3,50.394035
700.0,4,50.396838
700.0,5,50.400521
700.0,5,50.404093
700.0,3,50.406306
700.0,4,50.409245
700.0,4,50.412144
700.0,5,50.415715
700.0,3,50.41789
700.0,3,50.420068
700.0,5,50.423538
700.0,4,50.426422
700.0,3,50.428803
700.0,4,50.431638
700.0,3,50.433821
700.0,3,50.436006
700.0,7,50.441095
700.0,3,50.443398
700.0,5,50.447612
700.0,4,50.450901
700.0,3,50.453087
700.0,4,50.456337
700.0,4,50.459256
700.0,3,50.46144
700.0,3,50.463619
700.0,4,50.466679
700.0,4,50.469527
700.0,6,50.473659
700.0,4,50.476669
700.0,4,50.479603
700.0,3,50.481896
700.0,27,50.500378
700.0,3,50.50272
700.0,5,50.506335
700.0,5,50.509993
700.0,3,50.512237
700.0,3,50.514449
700.0,3,50.516637
700.0,4,50.519577
700.0,3,50.521865
700.0,3,50.524075
700.0,3,50.526458
700.0,5,50.530088
700.0,3,50.532294
700.0,4,50.535135
700.0,4,50.538043
700.0,3,50.540588
700.0,3,50.542783
700.0,4,50.545588
700.0,4,50.548392
700.0,3,50.550553
700.0,4,50.553373
700.0,3,50.555528
700.0,5,50.559182
700.0,3,50.561576
700.0,16,51.040569
700.0,3,51.042785
700.0,3,51.044919
700.0,5,51.048381
700.0,3,51.050532
700.0,5,51.054699
700.0,4,51.059175
700.0,12,51.067905
700.0,4,51.070778
700.0,4,51.073656
700.0,3,51.07589
700.0,4,51.078832
700.0,3,51.081101
700.0,3,51.083299
700.0,20,51.097203
700.0,3,51.099358
700.0,4,51.102209
700.0,6,51.10635
700.0,6,51.11057
700.0,4,51.113469
700.0,4,51.116261
700.0,3,51.118417
700.0,3,51.120572
700.0,5,51.124016
700.0,4,51.127235
700.0,4,51.130274
700.0,3,51.132487
700.0,7,51.137412
700.0,4,51.140294
700.0,3,51.142536
700.0,3,51.144769
700.0,3,51.146981
700.0,3,51.14918
700.0,3,51.151439
700.0,3,51.153762
700.0,10,51.160854
700.0,3,51.163072
700.0,3,51.165267
700.0,3,51.16748
700.0,3,51.169677
700.0,4,51.172546
700.0,3,51.174748
700.0,3,51.177185
700.0,6,51.181545
700.0,5,51.185126
700.0,4,51.188006
700.0,5,51.191886
700.0,3,51.194323
700.0,3,51.196524
700.0,3,51.198716
700.0,3,51.201035
700.0,5,51.204519
700.0,27,51.223358
700.0,3,51.226384
700.0,4,51.229489
700.0,3,51.231525
700.0,3,51.233699
700.0,4,51.236599
700.0,7,51.24218
700.0,5,51.246756
700.0,3,51.249618
700.0,4,51.253396
700.0,4,51.257141
700.0,6,51.262963
700.0,4,51.266908
700.0,5,51.271557
700.0,3,51.274404
700.0,3,51.277412
700.0,3,51.280195
700.0,3,51.282932
700.0,3,51.285635
700.0,4,51.28915
700.0,3,51.29175
700.0,3,51.294464
700.0,3,51.297063
700.0,4,51.300226
700.0,3,51.302582
700.0,3,51.304982
700.0,3,51.30727
700.0,3,51.309328
700.0,4,51.312138
700.0,7,51.317174
700.0,4,51.319857
700.0,4,51.322816
700.0,3,51.325178
700.0,3,51.327566
700.0,4,51.33128
700.0,7,51.336952
700.0,3,51.339118
700.0,5,51.342619
700.0,3,51.34477
700.0,4,51.347605
700.0,5,51.351045
700.0,3,51.353324
700.0,3,51.355458
700.0,8,51.360923
700.0,5,51.364521
700.0,11,51.372069
700.0,3,51.374438
700.0,3,51.376882
700.0,5,51.380489
700.0,5,51.384275
700.0,3,51.386706
700.0,3,51.388858
700.0,3,51.390996
700.0,3,51.393239
700.0,3,51.395351
700.0,3,51.397426
700.0,3,51.399547
700.0,4,51.402518
700.0,3,51.4048
700.0,4,51.407676
700.0,3,51.409928
700.0,4,51.41283
700.0,3,51.414996
700.0,4,51.418065
700.0,4,51.420928
700.0,3,51.423119
700.0,7,51.428355
700.0,4,51.431299
700.0,6,51.436057
700.0,3,51.438199
700.0,3,51.44033
700.0,7,51.445185
700.0,5,51.448847
700.0,5,51.452305
700.0,4,51.455539
700.0,4,51.458604
700.0,3,51.460853
700.0,8,51.46658
700.0,4,51.469487
700.0,11,51.477519
700.0,3,51.480281
700.0,5,51.483797
700.0,3,51.485892
700.0,3,51.488076
700.0,4,51.491038
700.0,6,51.495078
700.0,14,51.504306
700.0,5,51.507709
700.0,3,51.509831
700.0,4,51.512552
700.0,3,51.514737
700.0,4,51.517481
700.0,5,51.520961
700.0,3,51.523042
700.0,3,51.525577
700.0,5,51.529219
700.0,4,51.532075
700.0,6,51.536334
700.0,3,51.538533
700.0,3,51.541026
700.0,3,51.543501
700.0,3,51.545736
700.0,3,51.547878
700.0,5,51.551381
700.0,3,51.553593
700.0,5,51.557056
700.0,4,51.56002
700.0,3,51.562144
700.0,4,51.564875
700.0,3,51.566999
700.0,4,51.569862
700.0,7,51.574879
700.0,3,51.577448
700.0,4,51.580807
700.0,3,51.583074
700.0,4,51.58592
700.0,5,51.589441
700.0,11,51.59679
700.0,3,51.598925
700.0,28,51.617982
700.0,3,51.620245
700.0,4,51.623115
700.0,3,51.625834
700.0,5,51.630255
700.0,3,51.632563
700.0,29,51.652487
700.0,3,51.654793
-100.0,50,51.689723
